download_id,collection_id,source_page_url,download_url,accessed_on,publisher,creator,license_id,license_url,original_filename,local_path,size_bytes,publisher_checksum_type,publisher_checksum,sha256,integrity_status,extracted_path,intended_use,notes
traffic_uav_roundabout_near_3_archive,traffic_uav,https://zenodo.org/records/5776219,https://zenodo.org/records/5776219/files/Roundabout%28Near%29_3.zip?download=1,2026-07-29,Zenodo,Sergio Bemposta Rosende et al.,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,Roundabout(Near)_3.zip,data/evaluation/raw/traffic_uav/Roundabout(Near)_3.zip,403326241,md5,3a2e70c0ad4e0400c87e04f139794382,e25c867c47408e429457eb6926fd2dadb62b2f157143e6dbe64fa1c432708eb9,verified,data/evaluation/raw/traffic_uav/Roundabout(Near)_3,Vehicle detection and count reference,"342 paired PNG images and YOLO labels; one daylight oblique-view sequence"
traffic_uav_urban_intersection_2_archive,traffic_uav,https://zenodo.org/records/5776219,https://zenodo.org/records/5776219/files/Urban_intersection_2.zip?download=1,2026-07-29,Zenodo,Sergio Bemposta Rosende et al.,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,Urban_intersection_2.zip,data/evaluation/raw/traffic_uav/Urban_intersection_2.zip,669878819,md5,aff1885b3eb61b8bb2a66e4d1a08853c,6503cf17833e99bbd19561420583ccf4cfafcd0352df1fc1cf1a0b6863f954eb,verified,data/evaluation/raw/traffic_uav/Urban_intersection_2,Vehicle detection and count reference,"461 paired PNG images and YOLO labels; same low-oblique location as Urban_intersection_4"
traffic_uav_urban_intersection_4_archive,traffic_uav,https://zenodo.org/records/5776219,https://zenodo.org/records/5776219/files/Urban_intersection_4.zip?download=1,2026-07-29,Zenodo,Sergio Bemposta Rosende et al.,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,Urban_intersection_4.zip,data/evaluation/raw/traffic_uav/Urban_intersection_4.zip,635263301,md5,86b2ea63ae12f645a443c1378de336cd,17ecbed244c681a6af2705c6f1173280c4544563de5a496c8131c9c373e36a00,verified,data/evaluation/raw/traffic_uav/Urban_intersection_4,Vehicle detection and count reference,"476 paired PNG images and YOLO labels; same low-oblique location as Urban_intersection_2"
dlr_acd_archive,dlr_acd,https://www.dlr.de/en/eoc/about-us/remote-sensing-technology-institute/photogrammetry-and-image-analysis/public-datasets/dlr-acd,https://pba-freesoftware.eoc.dlr.de/DLR_AerialCrowdDataset.zip,2026-07-29,German Aerospace Center (DLR),"Reza Bahmanyar; Elenora Vig; Peter Reinartz",CC-BY-NC-ND-3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,DLR_AerialCrowdDataset.zip,data/evaluation/raw/dlr_acd/DLR_AerialCrowdDataset.zip,365626689,,,16e1e24866408168f4addb47e7b493d9983caa365756d9f22346bcf42c68e267,verified,data/evaluation/raw/dlr_acd/DLR_AerialCrowdDataset,Dense-crowd count reference,"33 image and point-mask pairs; 19 published-train and 14 published-test images"
okutama_action_train_frames_archive,okutama_action,http://okutama-action.org/,https://www.dropbox.com/scl/fo/9qvpsb3fsamvqzsa12149/APTyV-f01XLnJ0WFpZSBLOE?dl=1&e=1&preview=TrainSetFrames.zip&rlkey=7u7131amaul29amyr4jbnnu03,2026-07-29,National Institute of Informatics,Mohammadamin Barekatain et al.,CC-BY-NC-SA-3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,TrainSetFrames.zip,data/evaluation/raw/okutama_action/TrainSetFrames.zip,5770432522,,,c021ce8a12c84e083f359023ffd41c145561aaedb48b118e7c5416d5ddcecb73,verified,data/evaluation/raw/okutama_action/train,Person detection development reference,"60039 720p frames across 33 sequences and 17 source groups; published training role"
okutama_action_test_frames_archive,okutama_action,http://okutama-action.org/,https://www.dropbox.com/scl/fo/9qvpsb3fsamvqzsa12149/APTyV-f01XLnJ0WFpZSBLOE?dl=1&e=1&preview=TestSetFrames.zip&rlkey=7u7131amaul29amyr4jbnnu03,2026-07-29,National Institute of Informatics,Mohammadamin Barekatain et al.,CC-BY-NC-SA-3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,TestSetFrames.zip,data/evaluation/raw/okutama_action/TestSetFrames.zip,1650462812,,,9eb3995a4a96fc05f0502d6442873e5bbaaad28cc72217880e87a85daa733557,verified,data/evaluation/raw/okutama_action/test,Held-out person detection and count evaluation,"17326 720p frames across 10 sequences and 5 source groups; published test role"
wikimedia_jane_byrne_video,wikimedia,https://commons.wikimedia.org/wiki/File:Jane_M._Byrne_Interchange_Traffic.webm,https://upload.wikimedia.org/wikipedia/commons/9/90/Jane_M._Byrne_Interchange_Traffic.webm,2026-07-29,Wikimedia Commons,Sea Cow,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,Jane_M._Byrne_Interchange_Traffic.webm,data/evaluation/raw/wikimedia/Jane_M._Byrne_Interchange_Traffic.webm,68914193,sha1,843bef9b3e7f3ca038f544ce74bde219c1f321eb,f9cc9b37426aa60bc4f12f1fcfd64c577d805543cf8be45e3fcd7795f6bce3a1,verified,,Independent traffic video and possible manual annotation,31.264-second 1920x1080 daytime drone video
wikimedia_renai_day_image,wikimedia,https://commons.wikimedia.org/wiki/File:Ren%27ai_Dunhua_traffic_circle_202006.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Ren%27ai_Dunhua_traffic_circle_202006.jpg,2026-07-29,Wikimedia Commons,MiNe,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"Ren'ai Dunhua traffic circle 202006.jpg",data/evaluation/raw/wikimedia/Renai_Dunhua_traffic_circle_202006.jpg,2802162,sha1,4feff5a95db4c6f57e0a7f76b6d197e5c7408ae0,88d8ea239eeee2e6ad1e19f84fd2dff11fdd78845c1ce00611270ae6a2151dc9,verified,,Independent daytime vehicle image and possible manual annotation,2160x1620 DJI FC7203 image
wikimedia_renai_night_image,wikimedia,https://commons.wikimedia.org/wiki/File:Renai_Roundabout_at_night_from_the_air.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Renai_Roundabout_at_night_from_the_air.jpg,2026-07-29,Wikimedia Commons,MiNe,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,Renai Roundabout at night from the air.jpg,data/evaluation/raw/wikimedia/Renai_Roundabout_at_night_from_the_air.jpg,2841698,sha1,d8504345fc8394eb1a549c164540abbdcbf4c2c4,e0473a99118ce4ca51b3c205fcd2ab19a83548aa6a2a77eaf22e1c535a40669b,verified,,Independent nighttime vehicle image and possible manual annotation,2160x1620 DJI FC7203 image
wikimedia_festival_from_above_image,wikimedia,https://commons.wikimedia.org/wiki/File:Festival_From_Above.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Festival_From_Above.jpg,2026-07-29,Wikimedia Commons,Amdadphoto,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,Festival From Above.jpg,data/evaluation/raw/wikimedia/Festival_From_Above.jpg,5828753,sha1,dec9753b67b9c08a340e52c9a1f12aad66a472f8,3085a9ec20210a2ab9ba6dc7081af9094b401172964b43d64f5d1694df94ed27,verified,,Independent dense-crowd example and possible manual annotation,4000x3000 near-nadir image
