asset_id,dataset_version,collection_id,source_group_id,source_split,dataset_role,source_name,publisher,creator,source_url,license_id,license_url,accessed_on,original_filename,source_media_path,evaluation_image_path,media_type,frame_number,timestamp_seconds,width,height,scene_type,location,viewpoint,lighting,weather,target_classes,annotation_type,annotation_source_path,canonical_annotation_path,image_sha256,qc_status,notes
traffic_roundabout_near_3_f000006,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000006.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000006.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000006.PNG,image,6,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000006.txt,data/evaluation/derived/annotations/instances_validation.json,785414dccf5be9ecd1fbed0793ed32900069adbe8b8fe5953048141da7c45a4e,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000018,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000018.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000018.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000018.PNG,image,18,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000018.txt,data/evaluation/derived/annotations/instances_validation.json,f000c84da8043e925bb13f337e33051842d8c0e5ea8fec36390f86b0d13046a1,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000029,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000029.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000029.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000029.PNG,image,29,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000029.txt,data/evaluation/derived/annotations/instances_validation.json,1c63462c1511db556411844f0eb2e4d0392b0f0f54484146492735dd662c669a,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000040,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000040.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000040.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000040.PNG,image,40,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000040.txt,data/evaluation/derived/annotations/instances_validation.json,0611698276875a5eba92e134f5c65fb1153926b94cc0d064e6cdef8b24f84df6,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000052,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000052.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000052.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000052.PNG,image,52,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000052.txt,data/evaluation/derived/annotations/instances_validation.json,a664b41a78fda3f5622c26338243486aabbdbf57700e37b66031390b7c329c01,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000063,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000063.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000063.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000063.PNG,image,63,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000063.txt,data/evaluation/derived/annotations/instances_validation.json,73002f2a1042143e33f723386e3097b8ed9867841426924b124b53e5dc5280ac,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000075,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000075.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000075.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000075.PNG,image,75,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000075.txt,data/evaluation/derived/annotations/instances_validation.json,0b454ae9058ee30d427627cb48b587ea76eae78a02923edbbd747147052effe6,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000086,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000086.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000086.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000086.PNG,image,86,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000086.txt,data/evaluation/derived/annotations/instances_validation.json,6a5844da7beedabd7b54d1a2aec50232eedce2d504d48f18e5e9651f428f4d97,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000097,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000097.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000097.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000097.PNG,image,97,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000097.txt,data/evaluation/derived/annotations/instances_validation.json,58c32f9f04f5c31ab0f4833c4e3336d43994e6e31032a34c5d1dee8d65d7820e,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000109,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000109.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000109.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000109.PNG,image,109,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000109.txt,data/evaluation/derived/annotations/instances_validation.json,b7fcc18547e92e3af35d9b947cbf655489afea7599e5a93bdd3f27fbda55260d,pending,Uniform sample from one labelled sequence
traffic_roundabout_near_3_f000120,1.0-draft,traffic_uav,traffic_roundabout_near_3,unpublished,validation,Traffic Images Captured from UAVs,Zenodo,Sergio Bemposta Rosende et al.,https://zenodo.org/records/5776219,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,2026-07-29,frame_000120.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000120.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000120.PNG,image,120,,1280,720,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data/frame_000120.txt,data/evaluation/derived/annotations/instances_validation.json,91341ed674166ce11a3fdd708a3e8204399c4ed1e165bf179fd904c518a46ac8,pending,Uniform sample from one labelled sequence
