selection_id,collection_id,download_id,source_group_id,source_split,dataset_role,source_path,file_pattern,annotation_source,sample_count,media_type,scene_type,location,viewpoint,lighting,weather,target_classes,annotation_type,notes
traffic_roundabout_near_3,traffic_uav,traffic_uav_roundabout_near_3_archive,traffic_roundabout_near_3,unpublished,validation,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data,*.PNG,data/evaluation/raw/traffic_uav/Roundabout(Near)_3/obj_train_data,30,image_sequence,roundabout,not_recorded,low_oblique,daylight,clear,car_or_van;motorcycle,bounding_box,Uniform sample from one labelled sequence
traffic_urban_intersection_2,traffic_uav,traffic_uav_urban_intersection_2_archive,traffic_urban_intersection,unpublished,held_out_test,data/evaluation/raw/traffic_uav/Urban_intersection_2/Urban_intersection_2/obj_train_data,*.PNG,data/evaluation/raw/traffic_uav/Urban_intersection_2/Urban_intersection_2/obj_train_data,30,image_sequence,urban_intersection,not_recorded,low_oblique,daylight,clear,car_or_van,bounding_box,Grouped with Urban intersection 4 because the location is shared
traffic_urban_intersection_4,traffic_uav,traffic_uav_urban_intersection_4_archive,traffic_urban_intersection,unpublished,held_out_test,data/evaluation/raw/traffic_uav/Urban_intersection_4/Urban_intersection_4/obj_train_data,*.PNG,data/evaluation/raw/traffic_uav/Urban_intersection_4/Urban_intersection_4/obj_train_data,30,image_sequence,urban_intersection,not_recorded,low_oblique,daylight,clear,car_or_van,bounding_box,Grouped with Urban intersection 2 because the location is shared
okutama_1_1_1,okutama_action,okutama_action_train_frames_archive,okutama_morning_01,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.1,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.1.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_1_1,okutama_action,okutama_action_train_frames_archive,okutama_morning_01,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Morning/Extracted-Frames-1280x720/2.1.1,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.1.1.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_2,okutama_action,okutama_action_train_frames_archive,okutama_morning_02,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.2,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.2.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_1_2,okutama_action,okutama_action_train_frames_archive,okutama_morning_02,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Morning/Extracted-Frames-1280x720/2.1.2,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.1.2.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_3,okutama_action,okutama_action_train_frames_archive,okutama_morning_03,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.3,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.3.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_1_3,okutama_action,okutama_action_train_frames_archive,okutama_morning_03,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Morning/Extracted-Frames-1280x720/2.1.3,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.1.3.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_4,okutama_action,okutama_action_train_frames_archive,okutama_morning_04,published_train,validation,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.4,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.4.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Validation group selected with seed 2026
okutama_2_1_4,okutama_action,okutama_action_train_frames_archive,okutama_morning_04,published_train,validation,data/evaluation/raw/okutama_action/train/Drone2/Morning/Extracted-Frames-1280x720/2.1.4,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.1.4.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_5,okutama_action,okutama_action_train_frames_archive,okutama_morning_05,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.5,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.5.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_1_5,okutama_action,okutama_action_train_frames_archive,okutama_morning_05,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Morning/Extracted-Frames-1280x720/2.1.5,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.1.5.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_6,okutama_action,okutama_action_train_frames_archive,okutama_morning_06,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.6,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.6.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_1_6,okutama_action,okutama_action_train_frames_archive,okutama_morning_06,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Morning/Extracted-Frames-1280x720/2.1.6,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.1.6.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
